Year,Tech company?,Employer provide mental health benefits?,Know options for mental health care?,Employer discussed mental health?,Employer offer mental health resources?,Anonymity if you  take advantage of mental health resources?,Easy/difficult to ask for mental health medical leave?,Comfortable discussing mental health with supervisor?,Discussed your mental health with your employer?,Employer importance placed on physical health?,Employer importance placed on mental health?,Tech industry supports employees with mental health issues?,Age,Gender,Country
2019,FALSE,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,FALSE,7,3,2,24,M,United States of America
2019,TRUE,Not eligible for coverage / NA,No,No,No,I don't know,Somewhat easy,Yes,TRUE,8,5,2,25,F,United States of America
2019,FALSE,I don't know,No,Yes,I don't know,I don't know,I don't know,Maybe,FALSE,2,5,3,45,M,United Kingdom
2019,TRUE,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,FALSE,8,7,2,37,M,United States of America
2019,TRUE,I don't know,No,No,No,I don't know,Very easy,Maybe,FALSE,7,6,3,22,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Very easy,Yes,TRUE,7,7,3,35,F,United States of America
2019,FALSE,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,FALSE,10,2,2,50,M,United States of America
2019,TRUE,Yes,Yes,Yes,Yes,I don't know,Somewhat easy,Maybe,TRUE,8,5,2,45,M,United States of America
2019,FALSE,Not eligible for coverage / NA,N/A,Yes,I don't know,I don't know,I don't know,Yes,FALSE,1,1,1,49,M,United Kingdom
2019,FALSE,No,No,No,No,I don't know,Difficult,Maybe,FALSE,8,2,2,40,M,United Kingdom
2019,TRUE,Yes,No,Yes,Yes,Yes,Very easy,Yes,FALSE,9,9,3,38,F,Pakistan
2019,FALSE,Yes,Yes,Yes,Yes,Yes,I don't know,Yes,TRUE,6,5,2,37,M,United States of America
2019,TRUE,I don't know,No,Yes,I don't know,I don't know,Neither easy nor difficult,Maybe,TRUE,4,4,3,28,F ,United States of America
